Income,Coapplicant_Income,Loan_Tenor,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
5720,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3076,1500,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
5000,1800,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3276,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1
2165,3422,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1
2226,0,144.0,1.0,1,0,1,0,0,1,0,0,0,1,0,1,0
3881,0,144.0,0.0,0,1,0,1,0,0,1,0,0,1,1,0,0
13633,0,96.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
2400,2400,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0
3091,0,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1
2185,1516,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
12173,0,144.0,0.0,0,1,0,1,0,0,1,0,1,0,0,1,0
4666,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,1,0
5667,0,144.0,1.0,0,1,1,0,0,1,0,0,1,0,0,0,1
4583,2916,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3786,333,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0
9226,7916,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
1300,3470,72.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
1888,1620,144.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1
2083,0,72.0,1.0,1,0,1,0,0,0,0,1,0,1,0,0,1
3765,0,144.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,1
5400,4380,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
0,24000,144.0,0.0,0,1,1,0,1,0,0,0,1,0,1,0,0
7500,3750,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
2942,2382,72.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
2478,0,144.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0
6250,820,144.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
3268,1683,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
2783,2708,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
2740,1541,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3150,0,144.0,0.0,0,1,1,0,1,0,0,0,1,0,0,1,0
7350,4029,72.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
2267,2792,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
5833,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
3643,1963,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
5629,818,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
3644,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
1750,2024,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0
6500,2600,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
3666,0,144.0,1.0,1,0,1,0,1,0,0,0,1,0,0,0,1
2356,1902,144.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0
8000,250,144.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0
2419,1707,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
3500,3077,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
4116,1000,72.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1
5293,0,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1
2750,0,144.0,0.0,0,1,1,0,1,0,0,0,1,0,0,0,1
4402,0,144.0,1.0,1,0,1,0,1,0,0,0,0,1,1,0,0
3613,3539,72.0,1.0,0,1,0,1,0,0,1,0,1,0,0,1,0
2779,3664,144.0,0.0,1,0,0,1,0,0,1,0,1,0,0,1,0
4720,0,72.0,1.0,0,1,0,1,0,0,0,1,1,0,0,1,0
2415,1721,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0
7016,292,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
4968,0,144.0,1.0,1,0,1,0,0,0,1,0,1,0,0,1,0
2101,1500,144.0,0.0,1,0,1,0,1,0,0,0,1,0,1,0,0
4490,0,144.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,1
2917,3583,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
4700,0,144.0,0.0,0,1,0,1,1,0,0,0,0,1,0,1,0
3445,0,144.0,0.0,0,1,0,1,1,0,0,0,1,0,0,1,0
7666,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,1,0
2458,5105,144.0,0.0,0,1,0,1,1,0,0,0,1,0,1,0,0
4463,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0
4083,1775,60.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,1
3900,2094,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
4750,3583,144.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0
3583,3435,144.0,1.0,0,1,1,0,1,0,0,0,1,0,0,0,1
3189,2367,144.0,1.0,0,1,0,1,1,0,0,0,1,0,0,0,1
6356,0,144.0,1.0,0,1,1,0,1,0,0,0,1,0,1,0,0
3413,4053,144.0,1.0,0,1,0,1,0,1,0,0,1,0,0,1,0
7950,0,144.0,1.0,1,0,0,1,1,0,0,0,1,0,0,0,1
3829,1103,144.0,0.0,0,1,0,1,0,0,0,1,1,0,0,0,1
72529,0,144.0,1.0,0,1,0,1,0,0,0,1,1,0,0,0,1
4136,0,192.0,0.0,0,1,0,1,0,0,1,0,0,1,1,0,0
8449,0,144.0,1.0,0,1,0,1,1,0,0,0,1,0,1,0,0
4456,0,72.0,0.0,0,1,0,1,1,0,0,0,1,0,0,1,0
4635,8000,72.0,1.0,0,1,0,1,0,0,1,0,1,0,1,0,0
