Income,Coapplicant_Income,Loan_Tenor,Credit_History,Max_Loan_Amount,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
4583,1508.0,144.0,1.0,236.99,0,1,0,1,0,1,0,0,1,0,1,0,0,0
3000,0.0,144.0,1.0,81.2,0,1,0,1,1,0,0,0,1,0,0,0,1,1
2583,2358.0,144.0,1.0,179.03,0,1,0,1,1,0,0,0,0,1,0,0,1,1
6000,0.0,144.0,1.0,232.4,0,1,1,0,1,0,0,0,1,0,0,0,1,1
5417,4196.0,144.0,1.0,414.5,0,1,0,1,0,0,1,0,1,0,0,0,1,1
2333,1516.0,144.0,1.0,123.99,0,1,0,1,1,0,0,0,0,1,0,0,1,1
3036,2504.0,144.0,0.0,209.22,0,1,0,1,0,0,0,1,1,0,0,1,0,0
4006,1526.0,144.0,1.0,208.81,0,1,0,1,0,0,1,0,1,0,0,0,1,1
12841,10968.0,144.0,1.0,449.0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
3200,700.0,144.0,1.0,126.56,0,1,0,1,0,0,1,0,1,0,0,0,1,1
2500,1840.0,144.0,1.0,148.74,0,1,0,1,0,0,1,0,1,0,0,0,1,1
3073,8106.0,144.0,1.0,363.42,0,1,0,1,0,0,1,0,1,0,0,0,1,1
1853,2840.0,144.0,1.0,166.53,0,1,1,0,1,0,0,0,1,0,1,0,0,0
1299,1086.0,120.0,1.0,30.17,0,1,0,1,0,0,1,0,1,0,0,0,1,1
4950,0.0,144.0,1.0,179.48,0,1,1,0,1,0,0,0,1,0,0,0,1,1
3510,0.0,144.0,0.0,106.9,1,0,1,0,1,0,0,0,1,0,0,0,1,0
4887,0.0,144.0,1.0,176.3,0,1,0,1,1,0,0,0,0,1,1,0,0,0
7660,0.0,144.0,0.0,316.06,0,1,0,1,1,0,0,0,0,1,0,0,1,0
5955,5625.0,144.0,1.0,513.63,0,1,0,1,0,1,0,0,1,0,0,0,1,1
2600,1911.0,144.0,0.0,157.35,0,1,0,1,1,0,0,0,0,1,0,1,0,0
9560,0.0,144.0,1.0,411.82,0,1,0,1,1,0,0,0,1,0,0,1,0,1
2799,2253.0,144.0,1.0,184.62,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4226,1040.0,144.0,1.0,195.41,0,1,0,1,0,0,1,0,0,1,0,0,1,1
1442,0.0,144.0,1.0,72.68,0,1,1,0,1,0,0,0,0,1,0,0,1,0
3750,2083.0,144.0,1.0,223.98,1,0,1,0,0,0,1,0,1,0,0,1,0,1
3167,0.0,144.0,1.0,89.62,0,1,1,0,1,0,0,0,1,0,0,0,1,0
4692,0.0,144.0,1.0,166.48,0,1,1,0,0,1,0,0,1,0,1,0,0,0
3500,1667.0,144.0,1.0,190.42,0,1,0,1,1,0,0,0,1,0,0,1,0,1
12500,3000.0,144.0,1.0,581.2,0,1,1,0,0,0,0,1,1,0,1,0,0,0
3667,1459.0,144.0,1.0,188.35,1,0,0,1,1,0,0,0,1,0,0,1,0,1
4166,7210.0,144.0,1.0,373.35,0,1,1,0,1,0,0,0,1,0,0,0,1,1
3748,1668.0,144.0,1.0,202.97,0,1,1,0,1,0,0,0,0,1,0,1,0,1
3600,0.0,144.0,1.0,111.44,0,1,1,0,1,0,0,0,1,0,0,0,1,0
1800,1213.0,144.0,1.0,81.86,0,1,1,0,1,0,0,0,1,0,0,0,1,1
3941,2336.0,144.0,1.0,246.36,0,1,0,1,1,0,0,0,1,0,0,1,0,1
5649,0.0,144.0,1.0,214.71,0,1,0,1,0,1,0,0,1,0,0,0,1,1
5821,0.0,144.0,1.0,223.38,0,1,0,1,1,0,0,0,1,0,0,0,1,1
2645,3440.0,144.0,0.0,236.68,1,0,0,1,1,0,0,0,1,0,0,0,1,0
4000,2275.0,144.0,1.0,246.26,1,0,1,0,1,0,0,0,1,0,0,1,0,1
1928,1644.0,144.0,1.0,110.03,1,0,0,1,1,0,0,0,0,1,0,1,0,1
3086,0.0,144.0,1.0,85.53,1,0,1,0,1,0,0,0,1,0,0,1,0,1
4230,0.0,144.0,1.0,143.19,1,0,1,0,1,0,0,0,1,0,0,1,0,0
4616,0.0,144.0,1.0,162.65,0,1,0,1,0,0,1,0,1,0,0,0,1,0
11500,0.0,144.0,0.0,509.6,1,0,0,1,0,1,0,0,1,0,0,0,1,0
2708,1167.0,144.0,1.0,125.3,0,1,0,1,0,0,1,0,1,0,0,1,0,1
2132,1591.0,144.0,1.0,117.64,0,1,0,1,1,0,0,0,1,0,0,1,0,1
3366,2200.0,144.0,1.0,210.53,0,1,0,1,1,0,0,0,1,0,1,0,0,0
8080,2250.0,144.0,1.0,450.63,0,1,0,1,0,1,0,0,1,0,0,0,1,1
3357,2859.0,144.0,1.0,243.29,0,1,0,1,0,0,1,0,0,1,0,0,1,1
